"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A^∨B)_P(¬A∨B)_P(¬B∨¬A)"
"411","1_3_2_4","1_3_2_4","1_3_2_4"
"412","2_3_1_4","1_4_2_3","1_3_2_4"
"413","4_2_1_3","1_4_3_2","4_2_1_3"
"414","1_4_2_3","1_3_4_2","3_2_1_4"
"415","4_1_2_3","1_4_3_2","4_2_1_3"
"416","2_4_1_3","1_4_3_2","3_1_2_4"
"417","3_1_2_4","1_4_3_2","4_2_1_3"
"418","2_4_1_3","1_3_4_2","3_2_1_4"
"419","3_2_1_4","2_3_1_4","2_4_1_3"
"420","3_2_1_4","2_4_1_3","3_4_1_2"
"421","2_3_1_4","2_3_1_4","1_3_2_4"
"422","2_3_1_4","1_4_2_3","3_2_1_4"
"423","2_4_1_3","1_3_2_4","1_2_3_4"
"424","2_3_1_4","1_3_4_2","3_2_1_4"
"425","3_1_2_4","3_2_1_4","2_4_3_1"
"426","3_2_1_4","3_2_1_4","2_4_3_1"
"427","2_3_1_4","3_2_1_4","1_3_4_2"
"428","3_2_1_4","2_4_1_3","1_4_2_3"
"429","3_2_1_4","2_4_1_3","2_3_1_4"
"430","2_3_1_4","2_3_1_4","2_3_1_4"
"431","1_4_2_3","1_3_2_4","1_3_2_4"
"432","3_1_2_4","1_4_3_2","3_2_1_4"
"433","2_3_1_4","1_3_4_2","3_1_2_4"
"434","1_4_2_3","1_4_3_2","3_1_2_4"
"435","4_1_2_3","3_2_1_4","1_4_3_2"
"436","2_4_1_3","3_1_2_4","1_3_4_2"
"437","3_2_1_4","1_4_3_2","4_2_1_3"
"438","1_3_2_4","1_3_2_4","1_2_3_4"
"439","2_3_1_4","1_4_3_2","3_1_2_4"
"440","1_3_2_4","3_1_2_4","1_4_3_2"
"441","3_2_1_4","2_4_1_3","1_3_2_4"
"442","2_4_1_3","1_4_3_2","3_2_1_4"
"443","4_1_2_3","3_2_1_4","2_4_3_1"
"444","3_1_2_4","2_4_1_3","2_4_1_3"
"445","2_3_1_4","1_2_3_4","1_3_2_4"
"446","1_3_2_4","1_4_3_2","3_1_2_4"
"447","4_2_1_3","4_2_1_3","1_4_3_2"
"448","4_1_2_3","3_4_1_2","2_4_1_3"
"449","2_3_1_4","1_4_3_2","2_3_1_4"
"450","2_4_1_3","1_2_3_4","1_3_2_4"
"451","4_1_2_3","2_4_3_1","3_2_1_4"
"452","4_2_1_3","3_2_1_4","1_4_3_2"
"453","1_4_2_3","1_2_3_4","1_3_2_4"
"454","3_1_2_4","4_2_1_3","1_4_3_2"
"455","4_1_2_3","4_2_1_3","1_4_3_2"
"456","3_2_1_4","2_3_1_4","1_4_3_2"
"457","4_2_1_3","2_4_1_3","2_4_1_3"
"458","1_4_2_3","3_1_2_4","1_4_3_2"
"459","3_2_1_4","3_4_1_2","2_4_1_3"
"460","2_3_1_4","3_2_1_4","1_4_2_3"
"461","2_3_1_4","2_4_1_3","2_3_1_4"
"462","3_1_2_4","2_4_3_1","3_2_1_4"
"463","1_3_2_4","1_2_3_4","1_3_2_4"
"464","4_1_2_3","1_4_3_2","3_2_1_4"
"465","3_2_1_4","1_4_3_2","2_3_1_4"
"466","2_3_1_4","1_3_2_4","1_2_3_4"
"467","3_1_2_4","2_4_3_1","4_2_1_3"
"468","1_3_2_4","1_4_3_2","3_2_1_4"
"469","1_4_2_3","1_4_3_2","3_2_1_4"
"470","4_2_1_3","3_4_1_2","3_4_1_2"
"471","2_4_1_3","1_3_2_4","1_3_2_4"
"472","4_1_2_3","2_4_1_3","2_4_1_3"
"473","2_3_1_4","2_4_1_3","1_3_2_4"
"474","3_2_1_4","1_4_2_3","1_3_2_4"
"475","2_3_1_4","1_4_2_3","1_4_2_3"
"476","3_2_1_4","1_4_2_3","3_2_1_4"
"477","1_4_2_3","1_3_2_4","1_2_3_4"
"478","2_3_1_4","1_2_3_4","1_2_3_4"
